large_model,small_model,distortion,severity,variant,accuracy,nll,ece,f1,brier
wide_resnet50_2,resnet34,none,0,f_large,0.69788,1.2878855412648407,0.05040045796573162,0.6944511872229867,0.00041159640831119277
wide_resnet50_2,resnet34,none,0,f_small,0.6714,1.4033052406369166,0.0447593854854256,0.6679110654911676,0.0004411244931470939
wide_resnet50_2,resnet34,none,0,f_large_TS,0.69788,1.2905191844506754,0.053271877584606414,0.6944511872229867,0.00041497138753821515
wide_resnet50_2,resnet34,none,0,f_small_TS,0.6714,1.4146254125628246,0.06106465135961771,0.6679110654911676,0.0004465119979986477
wide_resnet50_2,resnet34,none,0,f_large_PTS,0.69788,1.1615978369769273,0.069408061651662,0.6944511872229867,0.0003084677469291344
wide_resnet50_2,resnet34,none,0,f_small_PTS,0.6714,1.2332251443560862,0.07202774924881755,0.6679110654911676,0.00032578136618542777
wide_resnet50_2,resnet34,none,0,Duo_Joint_TS,0.7097,1.200890612665918,0.018280045031905175,0.7063082562930558,0.0003926945427631213
wide_resnet50_2,resnet34,none,0,Duo_Joint_PTS,0.7376,1.0699472586244814,0.05022699532389641,0.7344933346315567,0.0002664876215252179
wide_resnet50_2,resnet34,none,0,tent_f_large,0.1765,5.49240844338299,0.11300663070335984,0.1784208204317852,0.0009621986463386043
wide_resnet50_2,resnet34,none,0,tent_f_large_TS_naive,0.1765,5.21210307031155,0.03680158593043685,0.1784208204317852,0.0009409075143340712
wide_resnet50_2,resnet34,none,0,tent_f_large_TS_pts,0.1765,7.522782919736498,0.22771636372953652,0.1784208204317852,0.0010560520795377401
wide_resnet50_2,resnet34,gaussian_noise,3,f_large,0.31504,3.597889884123153,0.12882153867032378,0.32183932046848435,0.000834489338809373
wide_resnet50_2,resnet34,gaussian_noise,3,f_small,0.2991,3.75035597982766,0.1570254075897485,0.31879654211115016,0.0008581129611851336
wide_resnet50_2,resnet34,gaussian_noise,3,f_large_TS,0.31504,3.4801011959038624,0.023426833402514457,0.32183932046848435,0.0008111799452603874
wide_resnet50_2,resnet34,gaussian_noise,3,f_small_TS,0.2991,3.56430151490174,0.018401566430032254,0.31879654211115016,0.0008241551883816793
wide_resnet50_2,resnet34,gaussian_noise,3,f_large_PTS,0.31504,4.1825748313429925,0.13349207767009735,0.32183932046848435,0.0008706749045352231
wide_resnet50_2,resnet34,gaussian_noise,3,f_small_PTS,0.2991,5.255460793532612,0.2191812305265665,0.31879654211115016,0.0009392238439898518
wide_resnet50_2,resnet34,gaussian_noise,3,Duo_Joint_TS,0.36326,3.110654241936867,0.030030981646478175,0.3735052309528029,0.0007653590180506977
wide_resnet50_2,resnet34,gaussian_noise,3,Duo_Joint_PTS,0.35078,4.944867242349297,0.2105896228477359,0.3606622890396557,0.0008915374424417752
wide_resnet50_2,resnet34,gaussian_noise,3,tent_f_large,0.10738,6.170743154916191,0.07387555139318108,0.1107568538240742,0.0009843948183918905
wide_resnet50_2,resnet34,gaussian_noise,3,tent_f_large_TS_naive,0.10738,5.91719808666503,0.024125799384787677,0.1107568538240742,0.0009724579241749999
wide_resnet50_2,resnet34,gaussian_noise,3,tent_f_large_TS_pts,0.10738,8.610271378137233,0.21826506858497857,0.1107568538240742,0.0011020092807776437
